auctionId,auctionSeason,auctionNumber,trentName,trentPrice,Item,Price,Category
202314,2023,14,"1,000 GP Gold Bar #1",$14.00,"1,000 GP Gold Bar",$14.00,Trade 2
202314,2023,14,"1,000 GP Gold Bar #10",$12.50,"1,000 GP Gold Bar",$12.50,Trade 2
202314,2023,14,"1,000 GP Gold Bar #11",$12.50,"1,000 GP Gold Bar",$12.50,Trade 2
202314,2023,14,"1,000 GP Gold Bar #12",$13.00,"1,000 GP Gold Bar",$13.00,Trade 2
202314,2023,14,"1,000 GP Gold Bar #13",$13.00,"1,000 GP Gold Bar",$13.00,Trade 2
202314,2023,14,"1,000 GP Gold Bar #14",$12.50,"1,000 GP Gold Bar",$12.50,Trade 2
202314,2023,14,"1,000 GP Gold Bar #15",$12.50,"1,000 GP Gold Bar",$12.50,Trade 2
202314,2023,14,"1,000 GP Gold Bar #16",$14.00,"1,000 GP Gold Bar",$14.00,Trade 2
202314,2023,14,"1,000 GP Gold Bar #17",$14.00,"1,000 GP Gold Bar",$14.00,Trade 2
202314,2023,14,"1,000 GP Gold Bar #18",$13.50,"1,000 GP Gold Bar",$13.50,Trade 2
202314,2023,14,"1,000 GP Gold Bar #19",$12.50,"1,000 GP Gold Bar",$12.50,Trade 2
202314,2023,14,"1,000 GP Gold Bar #2",$12.50,"1,000 GP Gold Bar",$12.50,Trade 2
202314,2023,14,"1,000 GP Gold Bar #20",$13.00,"1,000 GP Gold Bar",$13.00,Trade 2
202314,2023,14,"1,000 GP Gold Bar #21",$12.50,"1,000 GP Gold Bar",$12.50,Trade 2
202314,2023,14,"1,000 GP Gold Bar #22",$12.50,"1,000 GP Gold Bar",$12.50,Trade 2
202314,2023,14,"1,000 GP Gold Bar #23",$13.00,"1,000 GP Gold Bar",$13.00,Trade 2
202314,2023,14,"1,000 GP Gold Bar #24",$12.50,"1,000 GP Gold Bar",$12.50,Trade 2
202314,2023,14,"1,000 GP Gold Bar #25",$12.50,"1,000 GP Gold Bar",$12.50,Trade 2
202314,2023,14,"1,000 GP Gold Bar #26",$12.50,"1,000 GP Gold Bar",$12.50,Trade 2
202314,2023,14,"1,000 GP Gold Bar #27",$12.50,"1,000 GP Gold Bar",$12.50,Trade 2
202314,2023,14,"1,000 GP Gold Bar #28",$13.00,"1,000 GP Gold Bar",$13.00,Trade 2
202314,2023,14,"1,000 GP Gold Bar #29",$13.00,"1,000 GP Gold Bar",$13.00,Trade 2
202314,2023,14,"1,000 GP Gold Bar #3",$12.50,"1,000 GP Gold Bar",$12.50,Trade 2
202314,2023,14,"1,000 GP Gold Bar #30",$13.00,"1,000 GP Gold Bar",$13.00,Trade 2
202314,2023,14,"1,000 GP Gold Bar #31",$13.00,"1,000 GP Gold Bar",$13.00,Trade 2
202314,2023,14,"1,000 GP Gold Bar #32",$13.00,"1,000 GP Gold Bar",$13.00,Trade 2
202314,2023,14,"1,000 GP Gold Bar #33",$13.00,"1,000 GP Gold Bar",$13.00,Trade 2
202314,2023,14,"1,000 GP Gold Bar #34",$14.00,"1,000 GP Gold Bar",$14.00,Trade 2
202314,2023,14,"1,000 GP Gold Bar #35",$12.08,"1,000 GP Gold Bar",$12.08,Trade 2
202314,2023,14,"1,000 GP Gold Bar #36",$12.08,"1,000 GP Gold Bar",$12.08,Trade 2
202314,2023,14,"1,000 GP Gold Bar #37",$12.08,"1,000 GP Gold Bar",$12.08,Trade 2
202314,2023,14,"1,000 GP Gold Bar #38",$14.00,"1,000 GP Gold Bar",$14.00,Trade 2
202314,2023,14,"1,000 GP Gold Bar #39",$14.00,"1,000 GP Gold Bar",$14.00,Trade 2
202314,2023,14,"1,000 GP Gold Bar #4",$14.00,"1,000 GP Gold Bar",$14.00,Trade 2
202314,2023,14,"1,000 GP Gold Bar #40",$13.00,"1,000 GP Gold Bar",$13.00,Trade 2
202314,2023,14,"1,000 GP Gold Bar #41",$14.00,"1,000 GP Gold Bar",$14.00,Trade 2
202314,2023,14,"1,000 GP Gold Bar #42",$13.00,"1,000 GP Gold Bar",$13.00,Trade 2
202314,2023,14,"1,000 GP Gold Bar #43",$14.00,"1,000 GP Gold Bar",$14.00,Trade 2
202314,2023,14,"1,000 GP Gold Bar #44",$14.00,"1,000 GP Gold Bar",$14.00,Trade 2
202314,2023,14,"1,000 GP Gold Bar #5",$13.00,"1,000 GP Gold Bar",$13.00,Trade 2
202314,2023,14,"1,000 GP Gold Bar #6",$13.00,"1,000 GP Gold Bar",$13.00,Trade 2
202314,2023,14,"1,000 GP Gold Bar #7",$12.50,"1,000 GP Gold Bar",$12.50,Trade 2
202314,2023,14,"1,000 GP Gold Bar #8",$12.50,"1,000 GP Gold Bar",$12.50,Trade 2
202314,2023,14,"1,000 GP Gold Bar #9",$12.08,"1,000 GP Gold Bar",$12.08,Trade 2
202314,2023,14,10x Alchemist's Inks #1,$51.00,Alchemist's Ink,$5.10,Trade 1
202314,2023,14,10x Alchemist's Inks #2,$41.00,Alchemist's Ink,$4.10,Trade 1
202314,2023,14,10x Alchemist's Inks #3,$39.00,Alchemist's Ink,$3.90,Trade 1
202314,2023,14,10x Alchemist's Inks #4,$41.00,Alchemist's Ink,$4.10,Trade 1
202314,2023,14,10x Alchemist's Inks #5,$39.00,Alchemist's Ink,$3.90,Trade 1
202314,2023,14,10x Alchemist's Parchments #1,$16.00,Alchemist's Parchment,$1.60,Trade 1
202314,2023,14,10x Alchemist's Parchments #2,$15.00,Alchemist's Parchment,$1.50,Trade 1
202314,2023,14,10x Alchemist's Parchments #3,$15.00,Alchemist's Parchment,$1.50,Trade 1
202314,2023,14,10x Alchemist's Parchments #4,$15.00,Alchemist's Parchment,$1.50,Trade 1
202314,2023,14,10x Alchemist's Parchments #5,$14.25,Alchemist's Parchment,$1.43,Trade 1
202314,2023,14,10x Darkwood Planks #1,$14.50,Darkwood Plank,$1.45,Trade 1
202314,2023,14,10x Darkwood Planks #10,$14.75,Darkwood Plank,$1.48,Trade 1
